 288 10129.28 1393.87
resource 7 1330.00 1168.72
troff 8 312.25 158.58
grotty 8 311.06 24.63
tcsh 4 3749.67 4.69
col 8 314.72 6.86
more 8 313.91 5.66
cc1 7 7.02 2.55
ps 16 9.56 4.72
tbl 8 299.31 2.11
ld 7 6.28 1.06
cpp 7 1.97 1.03
cc 7 20.89 1.03
man 8 318.78 1.03
sh 26 321.86 3.00
id 1 0.12 0.11
lastcomm 2 0.36 0.22
awk 9 6.30 0.91
uptime 2 0.69 0.19
sed 1 0.09 0.09
as 7 2.09 0.66
pwd 2 0.33 0.19
ls 4 0.91 0.33
grep 12 7.52 0.98
groff 8 314.70 0.62
sendmai* 3 2.91 0.20
cut 2 0.28 0.12
cat 10 288.52 0.58
sh* 8 315.62 0.45
date 18 1.73 0.88
uname 2 0.09 0.08
sleep 15 1863.08 0.53
atrun 17 1.00 0.58
tcsh* 1 0.03 0.02
cron* 17 5.38 0.25
[ 18 0.25 0.23
