CA|Corrective Action|GBR
D|Deduction|GBR
DC|Data Consent|GBR
EO|Equal Opps|GBR
H|Healthcare|GBR
I|Integration |GBR
ISC|Int Site Change|GBR
IPL|Integration +|GBR
LOA|Leave of Absence|GBR
MC|Medical Clerance|GBR
MOC|Reports to Change|GBR
OOP|One Off Payment|GBR
OC|Org Unit Change/Creation|GBR
PRS|Payroll Specific|GBR
RA|Regular Allowance|GBR
S|Seperation|GBR
SC|Position/Salary|GBR
PS|Personal Data |GBR
UKBE|Pension Enrolement|GBR
WTC|Working Time Consent|GBR
CA|Corrective Action|DEU
D|Deduction|DEU
DC|Data Consent|DEU
EO|Equal Opps|DEU
H|Healthcare|DEU
I|Integration |DEU
ISC|Int Site Change|DEU
IPL|Integration +|DEU
LOA|Leave of Absence|DEU
MC|Medical Clerance|DEU
MOC|Reports to Change|DEU
OOP|One Off Payment|DEU
OC|Org Unit Change/Creation|DEU
PRS|Payroll Specific|DEU
RA|Regular Allowance|DEU
S|Seperation|DEU
SC|Position/Salary|DEU
PS|Personal Data |DEU
UKBE|Pension Enrolement|DEU
WTC|Working Time Consent|DEU
D|Deduction|FRA
I|Integration |FRA
ISC|Int Site Change|FRA
IPL|Integration +|FRA
LOA|Leave of Absence|FRA
MOC|Reports to Change|FRA
OOP|One Off Payment|FRA
OC|Org Unit Change/Creation|FRA
PRS|Payroll Specific|FRA
S|Seperation|FRA
SC|Position/Salary|FRA
PS|Personal Data |FRA
D|Deduction|ISR
I|Integration |ISR
ISC|Int Site Change|ISR
IPL|Integration +|ISR
LOA|Leave of Absence|ISR
MOC|Reports to Change|ISR
OC|Org Unit Change/Creation|ISR
PRS|Payroll Specific|ISR
S|Seperation|ISR
SC|Position/Salary|ISR
PS|Personal Data |ISR
