Australia|Asia/Pacific
Hong Kong|Asia/Pacific
India|Asia/Pacific
Indonesia|Asia/Pacific
Japan|Asia/Pacific
Korea|Asia/Pacific
Malaysia|Asia/Pacific
New Zealand|Asia/Pacific
Philipines|Asia/Pacific
Singapore|Asia/Pacific
Sri Lanka|Asia/Pacific
Taiwan|Asia/Pacific
Thailand|Asia/Pacific
Vietnam|Asia/Pacific
Austria|EMEA
Belgium|EMEA
Czech Republic|EMEA
Denmark|EMEA
France|EMEA
Germany|EMEA
Ireland|EMEA
Italy|EMEA
Kuwait|EMEA
Norway|EMEA
Poland|EMEA
Spain|EMEA
Sweden|EMEA
Switzerland|EMEA
United Kingdom|EMEA
Brazil|Latin America
Canada|North America
United States|North America
No country specified|Unknown
